,index,Time Series,MXN_USD,MXN_IR,MXN_GDP,MXN_trade,MXN_UE,fc_year,price_gold,h1n1
23,2000-02-04,2000-02-04,9.481,15.18,0.010389796790947202,0.9814419963673694,0.021,0,293.7,0
24,2000-02-07,2000-02-07,9.436,15.18,0.010389796790947202,0.9814419963673694,0.021,0,312.7,0
25,2000-02-08,2000-02-08,9.402000000000001,15.18,0.010389796790947202,0.9814419963673694,0.021,0,296.3,0
26,2000-02-09,2000-02-09,9.399,15.18,0.010389796790947202,0.9814419963673694,0.021,0,308.6,0
27,2000-02-10,2000-02-10,9.4365,15.18,0.010389796790947202,0.9814419963673694,0.021,0,309.0,0
28,2000-02-11,2000-02-11,9.423,15.18,0.010389796790947202,0.9814419963673694,0.021,0,311.5,0
29,2000-02-14,2000-02-14,9.392999999999999,15.18,0.010389796790947202,0.9814419963673694,0.021,0,308.4,0
30,2000-02-15,2000-02-15,9.3875,15.18,0.010389796790947202,0.9814419963673694,0.021,0,304.3,0
31,2000-02-16,2000-02-16,9.3715,15.18,0.010389796790947202,0.9814419963673694,0.021,0,302.5,0
32,2000-02-17,2000-02-17,9.398,15.18,0.010389796790947202,0.9814419963673694,0.021,0,304.8,0
33,2000-02-18,2000-02-18,9.354,15.18,0.010389796790947202,0.9814419963673694,0.021,0,303.6,0
34,2000-02-22,2000-02-22,9.427,15.18,0.010389796790947202,0.9814419963673694,0.021,0,302.3,0
35,2000-02-23,2000-02-23,9.413,15.18,0.010389796790947202,0.9814419963673694,0.021,0,302.0,0
36,2000-02-24,2000-02-24,9.382,15.18,0.010389796790947202,0.9814419963673694,0.021,0,298.8,0
37,2000-02-25,2000-02-25,9.378,15.18,0.010389796790947202,0.9814419963673694,0.021,0,294.0,0
38,2000-02-28,2000-02-28,9.4025,15.18,0.010389796790947202,0.9814419963673694,0.021,0,292.5,0
39,2000-02-29,2000-02-29,9.3645,15.18,0.010389796790947202,0.9814419963673694,0.021,0,293.7,0
40,2000-03-01,2000-03-01,9.363,13.67,0.010389796790947202,0.9751740139211146,0.022,0,292.9,0
41,2000-03-02,2000-03-02,9.341000000000001,13.67,0.010389796790947202,0.9751740139211146,0.022,0,289.9,0
42,2000-03-03,2000-03-03,9.315,13.67,0.010389796790947202,0.9751740139211146,0.022,0,288.5,0
43,2000-03-06,2000-03-06,9.3175,13.67,0.010389796790947202,0.9751740139211146,0.022,0,288.8,0
44,2000-03-07,2000-03-07,9.285,13.67,0.010389796790947202,0.9751740139211146,0.022,0,289.8,0
45,2000-03-08,2000-03-08,9.272,13.67,0.010389796790947202,0.9751740139211146,0.022,0,291.2,0
46,2000-03-09,2000-03-09,9.2925,13.67,0.010389796790947202,0.9751740139211146,0.022,0,290.5,0
47,2000-03-10,2000-03-10,9.3175,13.67,0.010389796790947202,0.9751740139211146,0.022,0,290.3,0
48,2000-03-13,2000-03-13,9.312999999999999,13.67,0.010389796790947202,0.9751740139211146,0.022,0,290.7,0
49,2000-03-14,2000-03-14,9.318999999999999,13.67,0.010389796790947202,0.9751740139211146,0.022,0,288.8,0
50,2000-03-15,2000-03-15,9.337,13.67,0.010389796790947202,0.9751740139211146,0.022,0,289.2,0
51,2000-03-16,2000-03-16,9.325,13.67,0.010389796790947202,0.9751740139211146,0.022,0,287.4,0
52,2000-03-17,2000-03-17,9.322000000000001,13.67,0.010389796790947202,0.9751740139211146,0.022,0,283.9,0
53,2000-03-20,2000-03-20,9.321,13.67,0.010389796790947202,0.9751740139211146,0.022,0,285.8,0
54,2000-03-21,2000-03-21,9.3,13.67,0.010389796790947202,0.9751740139211146,0.022,0,285.2,0
55,2000-03-22,2000-03-22,9.275,13.67,0.010389796790947202,0.9751740139211146,0.022,0,287.8,0
56,2000-03-23,2000-03-23,9.2375,13.67,0.010389796790947202,0.9751740139211146,0.022,0,284.8,0
57,2000-03-24,2000-03-24,9.1875,13.67,0.010389796790947202,0.9751740139211146,0.022,0,284.9,0
58,2000-03-27,2000-03-27,9.1825,13.67,0.010389796790947202,0.9751740139211146,0.022,0,284.2,0
59,2000-03-28,2000-03-28,9.184,13.67,0.010389796790947202,0.9751740139211146,0.022,0,280.7,0
60,2000-03-29,2000-03-29,9.235,13.67,0.010389796790947202,0.9751740139211146,0.022,0,279.8,0
61,2000-03-30,2000-03-30,9.306000000000001,13.67,0.010389796790947202,0.9751740139211146,0.022,0,275.8,0
62,2000-03-31,2000-03-31,9.2895,13.67,0.010389796790947202,0.9751740139211146,0.022,0,276.8,0
63,2000-04-03,2000-04-03,9.29,12.48,0.019162615990560003,0.9693390299070128,0.0279206788,0,277.5,0
64,2000-04-04,2000-04-04,9.312000000000001,12.48,0.019162615990560003,0.9693390299070128,0.0279206788,0,276.9,0
65,2000-04-05,2000-04-05,9.395,12.48,0.019162615990560003,0.9693390299070128,0.0279206788,0,281.3,0
66,2000-04-06,2000-04-06,9.363999999999999,12.48,0.019162615990560003,0.9693390299070128,0.0279206788,0,279.4,0
67,2000-04-07,2000-04-07,9.3222,12.48,0.019162615990560003,0.9693390299070128,0.0279206788,0,280.2,0
68,2000-04-10,2000-04-10,9.29,12.48,0.019162615990560003,0.9693390299070128,0.0279206788,0,282.3,0
69,2000-04-11,2000-04-11,9.366,12.48,0.019162615990560003,0.9693390299070128,0.0279206788,0,282.5,0
70,2000-04-12,2000-04-12,9.397,12.48,0.019162615990560003,0.9693390299070128,0.0279206788,0,280.4,0
