,index,Time Series,BRL_USD,BRL_IR,BRL_GDP,BRL_trade,BRL_UE,fc_year,price_gold,h1n1
0,2000-01-03,2000-01-03,1.805,19.0,0.0141924185418286,0.5086703394573568,0.1376621748,0,290.3,0
1,2000-01-04,2000-01-04,1.8405,19.0,0.0141924185418286,0.5086703394573568,0.1376621748,0,281.5,0
2,2000-01-05,2000-01-05,1.8559999999999999,19.0,0.0141924185418286,0.5086703394573568,0.1376621748,0,280.5,0
3,2000-01-06,2000-01-06,1.84,19.0,0.0141924185418286,0.5086703394573568,0.1376621748,0,279.4,0
4,2000-01-07,2000-01-07,1.831,19.0,0.0141924185418286,0.5086703394573568,0.1376621748,0,282.1,0
5,2000-01-10,2000-01-10,1.819,19.0,0.0141924185418286,0.5086703394573568,0.1376621748,0,281.6,0
6,2000-01-11,2000-01-11,1.8225,19.0,0.0141924185418286,0.5086703394573568,0.1376621748,0,282.3,0
7,2000-01-12,2000-01-12,1.835,19.0,0.0141924185418286,0.5086703394573568,0.1376621748,0,282.3,0
8,2000-01-13,2000-01-13,1.814,19.0,0.0141924185418286,0.5086703394573568,0.1376621748,0,282.1,0
9,2000-01-14,2000-01-14,1.805,19.0,0.0141924185418286,0.5086703394573568,0.1376621748,0,283.3,0
10,2000-01-18,2000-01-18,1.7942,19.0,0.0141924185418286,0.5086703394573568,0.1376621748,0,285.8,0
11,2000-01-19,2000-01-19,1.7930000000000001,19.0,0.0141924185418286,0.5086703394573568,0.1376621748,0,287.7,0
12,2000-01-20,2000-01-20,1.7785,19.0,0.0141924185418286,0.5086703394573568,0.1376621748,0,288.1,0
13,2000-01-21,2000-01-21,1.78,19.0,0.0141924185418286,0.5086703394573568,0.1376621748,0,287.8,0
14,2000-01-24,2000-01-24,1.768,19.0,0.0141924185418286,0.5086703394573568,0.1376621748,0,287.2,0
15,2000-01-25,2000-01-25,1.78,19.0,0.0141924185418286,0.5086703394573568,0.1376621748,0,288.0,0
16,2000-01-26,2000-01-26,1.781,19.0,0.0141924185418286,0.5086703394573568,0.1376621748,0,285.9,0
17,2000-01-27,2000-01-27,1.78,19.0,0.0141924185418286,0.5086703394573568,0.1376621748,0,285.6,0
18,2000-01-28,2000-01-28,1.79,19.0,0.0141924185418286,0.5086703394573568,0.1376621748,0,286.8,0
19,2000-01-31,2000-01-31,1.8019999999999998,19.0,0.0141924185418286,0.5086703394573568,0.1376621748,0,283.3,0
20,2000-02-01,2000-02-01,1.795,19.0,0.0141924185418286,0.5448128734907335,0.1432407667,0,283.0,0
21,2000-02-02,2000-02-02,1.785,19.0,0.0141924185418286,0.5448128734907335,0.1432407667,0,285.6,0
22,2000-02-03,2000-02-03,1.775,19.0,0.0141924185418286,0.5448128734907335,0.1432407667,0,285.1,0
23,2000-02-04,2000-02-04,1.7730000000000001,19.0,0.0141924185418286,0.5448128734907335,0.1432407667,0,293.7,0
24,2000-02-07,2000-02-07,1.77,19.0,0.0141924185418286,0.5448128734907335,0.1432407667,0,312.7,0
25,2000-02-08,2000-02-08,1.765,19.0,0.0141924185418286,0.5448128734907335,0.1432407667,0,296.3,0
26,2000-02-09,2000-02-09,1.77,19.0,0.0141924185418286,0.5448128734907335,0.1432407667,0,308.6,0
27,2000-02-10,2000-02-10,1.77,19.0,0.0141924185418286,0.5448128734907335,0.1432407667,0,309.0,0
28,2000-02-11,2000-02-11,1.767,19.0,0.0141924185418286,0.5448128734907335,0.1432407667,0,311.5,0
29,2000-02-14,2000-02-14,1.7690000000000001,19.0,0.0141924185418286,0.5448128734907335,0.1432407667,0,308.4,0
